EmpiricialRegret,length_scale,K,method
0.3937276950045555,0.5,10,epsilon
0.4890922436308669,0.5,10,ucb
0.4956854588588043,0.5,10,ts
0.43353809202768656,0.5,10,epsilon
0.4549792819667635,0.5,10,ucb
0.5760746134040777,0.5,10,ts
0.40762464473970644,0.5,10,epsilon
0.5423965631712804,0.5,10,ucb
0.6360745315334579,0.5,10,ts
0.6249402166860286,0.5,10,epsilon
0.6202855928271221,0.5,10,ucb
0.5260735182816317,0.5,10,ts
0.556741566890775,0.5,10,epsilon
0.6156415633313532,0.5,10,ucb
0.6405305468933082,0.5,10,ts
0.582825355097905,0.5,10,epsilon
0.4577873746295622,0.5,10,ucb
0.45703617305468724,0.5,10,ts
0.4701946170655168,0.5,10,epsilon
0.6166317001269854,0.5,10,ucb
0.5010168026811778,0.5,10,ts
0.6222966554769632,0.5,10,epsilon
0.606844615093264,0.5,10,ucb
0.6545992703432001,0.5,10,ts
0.4499044390574693,0.5,10,epsilon
0.48983074292074436,0.5,10,ucb
0.49110273724502085,0.5,10,ts
0.43218505455565015,0.5,10,epsilon
0.47021585591248594,0.5,10,ucb
0.5478198979073844,0.5,10,ts
0.41075660716372486,0.5,10,epsilon
0.47667170166418027,0.5,10,ucb
0.573149264441192,0.5,10,ts
0.40382237024549095,0.5,10,epsilon
0.5171379972646611,0.5,10,ucb
0.7462780654849603,0.5,10,ts
0.4720800520487366,0.5,10,epsilon
0.4817562102729968,0.5,10,ucb
0.5272137349727867,0.5,10,ts
0.4669394475141829,0.5,10,epsilon
0.5041797719424517,0.5,10,ucb
0.4849663749943082,0.5,10,ts
0.41677620304981644,0.5,10,epsilon
0.5254895497184996,0.5,10,ucb
0.5674177948475416,0.5,10,ts
0.5278974183765915,0.5,10,epsilon
0.5214394301494326,0.5,10,ucb
0.4248482034017528,0.5,10,ts
0.4467865446450542,0.5,10,epsilon
0.5222028160327887,0.5,10,ucb
0.585618845639295,0.5,10,ts
0.4653850315757598,0.5,10,epsilon
0.41161538537852355,0.5,10,ucb
0.47915489009065876,0.5,10,ts
0.39642644281864164,0.5,10,epsilon
0.5959208179705072,0.5,10,ucb
0.4502489534896216,0.5,10,ts
0.39857954164820075,0.5,10,epsilon
0.6020206939553179,0.5,10,ucb
0.5125533514064129,0.5,10,ts
0.4440206724782925,0.5,10,epsilon
0.46498528914904963,0.5,10,ucb
0.37433883556673075,0.5,10,ts
0.5276353845075864,0.5,10,epsilon
0.6238863349348968,0.5,10,ucb
0.5466896609564615,0.5,10,ts
0.49458240324347075,0.5,10,epsilon
0.4200672282524528,0.5,10,ucb
0.6397963191276338,0.5,10,ts
0.45866512633106044,0.5,10,epsilon
0.4750285993750332,0.5,10,ucb
0.5269253934636176,0.5,10,ts
0.4594003033744916,0.5,10,epsilon
0.5732185907425328,0.5,10,ucb
0.42945308777120417,0.5,10,ts
0.4103189497016564,0.5,10,epsilon
0.4877074969782862,0.5,10,ucb
0.7045846815688203,0.5,10,ts
0.5243880784757363,0.5,10,epsilon
0.5330963895652994,0.5,10,ucb
0.5058821240617943,0.5,10,ts
0.4648663175181017,0.5,10,epsilon
0.49549135965211316,0.5,10,ucb
0.5328008025519929,0.5,10,ts
0.3916902036593518,0.5,10,epsilon
0.553776960678496,0.5,10,ucb
0.48582152023702313,0.5,10,ts
0.502910333417956,0.5,10,epsilon
0.4810711771373744,0.5,10,ucb
0.48689699948771376,0.5,10,ts
0.30056049027216514,1,10,epsilon
0.3325414349314603,1,10,ucb
0.22732470068001362,1,10,ts
0.2318949905984289,1,10,epsilon
0.3519192306623872,1,10,ucb
0.3205717485378842,1,10,ts
0.2686818440537341,1,10,epsilon
0.3361205850790269,1,10,ucb
0.26919710310498673,1,10,ts
0.20861259980657826,1,10,epsilon
0.29976541560423253,1,10,ucb
